address,latitude,longitude,yelprating
901 N Rancho Dr,-115.1799999,36.1814172,1
2704 N Tenaya Way,-115.2486939,36.2088261,1
500 S Grand Central Pkwy,-115.1534203,36.1658902,2
5241 Spring Mountain Rd,-115.2140289,36.1249886,0
3260 Industrial Rd,-115.1730826,36.130345,5
3667 Las Vegas Blvd S,-115.1715569,36.1101015,46
4175 S Riley St,-115.2842469,36.1136448,1
9455 W Russell Rd,-115.299366,36.084612,5
4000 W Flamingo Rd,-115.192058,36.117063,4
6415 W Lake Mead Blvd,-115.2341143,36.1938476,0
4996 Swenson St,-115.146168,36.0995869,2
5860 S Pecos Rd,-115.0994483,36.083403,7
6930 W Oakey Blvd,-115.2457666,36.1532891,0
5555 Badura Ave,-115.2172861,36.0630364,0
3101 Spring Mountain Rd,-115.1819118,36.1256884,1
7690 W Cheyenne Ave,-115.2623405,36.2205453,0
3920 W Sunset Rd,-115.1924142,36.0730358,0
11180 W Desert Inn Rd,-115.3376157,36.132569,0
200 W Sahara Ave,-115.1589658,36.1440334,1
10900 W Tropicana Ave,-115.2800359,36.1001489,4
4300 W Maule Ave,-115.1980298,36.0654035,0
3780 Las Vegas Blvd S,-115.175718,36.107345,13
9732 W Maule Ave,-115.3056669,36.0639108,1
19827 N 27th Ave,-112.1205529,33.5863668,0
202 E Earll Dr,-112.0714573,33.4841832,2
7135 S Decatur Blvd,-115.211637,36.06014,0
3125 Palm Center Dr,-115.1823327,36.1033169,0
7185 Pollock Dr,-115.1455423,36.0591252,2
5775 S Fort Apache Rd,-115.298734,36.08361,1
3101 N Central Ave,-112.072817,33.48435,1
250 E Dunlap Ave,-112.070587,33.569462,0
2500 W Utopia Rd,-112.110887,33.6631379,0
2727 S Decatur Blvd,-115.208529,36.1399125,0
4701 E Francisco Dr,-111.979602,33.371789,0
211 W Monroe St,-112.0777,33.4518,3
4010 S 36th St,-112.0042474,33.4093871,1
3410 E University Dr,-112.008277,33.4169823,0
2120 N Central Ave,-112.074394,33.471364,1
4270 E Sahara Ave,-115.081448,36.144685,1
2475 Arden St,-115.075174,36.144578,0
4996 Swenson St,-115.146168,36.0995869,2
6200 Spring Mountain Rd,-115.2271464,36.1258605,2
125 Las Vegas Blvd S,-115.140836,36.168329,21
302 E Carson Ave,-115.143522,36.168619,5
8040 Las Vegas Blvd S,-115.171096,36.043488,1
3110 N Central Ave,-112.075269,33.484027,8
3850 S Town Center Dr,-115.326008,36.11914,1
4300 Flossmoor St,-115.0776847,36.2387878,0
201 E Washington St,-112.0704628,33.44793,5
401 W Harrison St,-112.079669,33.444131,1
4000 N Central Ave,-112.0751516,33.4924988,4
4025 E Cotton Center Blvd,-111.994153,33.402672,0
6246 N 27th Ave,-112.1174662,33.5292233,1
701 W Jefferson St,-112.0830868,33.4468042,0
736 E Watkins St,-112.063672,33.426083,0
2550 W Union Hills Dr,-112.1132362,33.6556692,0
3300 NCentral Ave,-112.0742668,33.4870105,2
333 E Indian School Rd,-112.068237,33.494548,2
4742 N 24th St,-112.0307738,33.5070002,8
3402 E University Dr,-112.009337,33.416112,1
4740 E University Dr,-111.9790599,33.4225519,0
3443 N Central Ave,-112.0728094,33.4878004,0
3532 W Greenway Rd,-112.1354922,33.6259965,0
3550 N Central Ave,-112.0753356,33.4889026,0
3838 N Central Ave,-112.07611,33.49102,1
3930 E Watkins St,-111.996655,33.424641,0
40 E Virginia Ave,-112.0717981,33.4769167,1
5827 S 40th St,-111.9954109,33.3935087,0
3640 E Indian School Rd,-112.0023839,33.4956053,15
801 E Jefferson St,-112.0632612,33.4466971,1
3719 E La Salle St,-112.000116,33.396571,0
811 S 16th St,-112.0469491,33.4397021,0
2041 W Deer Valley Rd,-112.1039636,33.6832061,3
201 E Washington St,-112.0704628,33.44793,5
2910 N 44th St,-111.9884627,33.480688,4
2005 N Central Ave,-112.0733178,33.4696121,1
301 S 4th Ave,-112.078571,33.444712,0
215 E Indian School Rd,-112.0707198,33.494338,1
2946 E Van Buren St,-112.017501,33.4517652,0
234 N Central Ave,-112.0741734,33.4509578,12
3110 N Central Ave,-112.075269,33.484027,8
22600 N 19th Ave,-112.1022422,33.6917621,0
3012 E Thunderbird Rd,-112.014352,33.6120114,2
2231 E Camelback Rd,-112.0328033,33.5084685,2
3255 E Elwood St,-112.0105529,33.4145156,0
4129 E Van Buren St,-111.991649,33.449774,0
1510 W Adams St,-112.0917458,33.4495037,0
1530 E Roeser Rd,-112.04799,33.400239,0
1825 E Buckeye Rd,-112.0413788,33.4359654,0
19601 N 27th Ave,-112.1160673,33.6636271,0
200 E Van Buren St,-112.070845,33.451839,1
17 E Virginia Ave,-112.073,33.476395,3
1720 W Madison St,-112.0964826,33.4462023,1
18 W Dunlap Ave,-112.0746316,33.5682227,0
615 N 48th St,-111.976185,33.454567,0
801 S 16th St,-112.0464385,33.440699,0
801 S 16th St,-112.0464385,33.440699,0
211 W Monroe St,-112.0777,33.4518,3
2600 N Central Ave,-112.0744197,33.4771144,5
770 Pilot Rd,-115.145627,36.063533,0
7140 Bermuda Rd,-115.1534733,36.0602583,0
8918 Spanish Ridge Ave,-115.2865868,36.0920002,1
2255 N 44th St,-111.9868285,33.4727161,5
